celle , hugo_claude_gueux--utf8.txt	1090 , 126
cellule , hugo_claude_gueux--utf8.txt	94
celui , dumas_blanche_beaulieu-utf8.txt	160 , 151 , 150
celui , hugo_claude_gueux--utf8.txt	1022 , 826
celuici , dumas_blanche_beaulieu-utf8.txt	40 , 235
celuilà , dumas_blanche_beaulieu-utf8.txt	36
celuilà , hugo_claude_gueux--utf8.txt	114
cendres , dumas_blanche_beaulieu-utf8.txt	64
cent , dumas_blanche_beaulieu-utf8.txt	270 , 290
cent , hugo_claude_gueux--utf8.txt	150
centrale , hugo_claude_gueux--utf8.txt	118 , 94
centres , hugo_claude_gueux--utf8.txt	1062
cents , dumas_blanche_beaulieu-utf8.txt	279
cents , hugo_claude_gueux--utf8.txt	1118
cependant , dumas_blanche_beaulieu-utf8.txt	259 , 351
cependant , hugo_claude_gueux--utf8.txt	378 , 1038 , 790
certain , hugo_claude_gueux--utf8.txt	790 , 878 , 478
certaine , hugo_claude_gueux--utf8.txt	926 , 114 , 130
certaines , hugo_claude_gueux--utf8.txt	94
certes , hugo_claude_gueux--utf8.txt	994
certitude , hugo_claude_gueux--utf8.txt	1158 , 1058
cerveau , hugo_claude_gueux--utf8.txt	138 , 1002
cerveaux , hugo_claude_gueux--utf8.txt	138
cervelle , dumas_blanche_beaulieu-utf8.txt	59
ces , dumas_blanche_beaulieu-utf8.txt	316 , 65 , 199 , 260 , 148
ces , hugo_claude_gueux--utf8.txt	1074 , 134 , 990 , 390 , 210 , 1130 , 1130 , 1134 , 982 , 826 , 442 , 470 , 150 , 910 , 1026 , 386 , 142 , 114 , 870 , 266 , 1042 , 134 , 222 , 470 , 990 , 1130 , 114 , 946 , 1022 , 1130 , 1130
cessation , dumas_blanche_beaulieu-utf8.txt	180
cest , dumas_blanche_beaulieu-utf8.txt	242 , 103 , 77 , 106 , 91
cest , hugo_claude_gueux--utf8.txt	690 , 1126 , 854 , 1034 , 698 , 1162 , 114 , 566 , 262 , 610 , 854 , 422 , 542 , 90 , 734 , 526 , 998 , 342 , 742 , 506 , 1146 , 886 , 302 , 654 , 94
cestàdire , dumas_blanche_beaulieu-utf8.txt	187
cet , dumas_blanche_beaulieu-utf8.txt	54 , 353 , 255 , 273
cet , hugo_claude_gueux--utf8.txt	270 , 134 , 626 , 846 , 126 , 162 , 114 , 114 , 550 , 218 , 854 , 390 , 738 , 886 , 994 , 886 , 854
cette , dumas_blanche_beaulieu-utf8.txt	52 , 61 , 34 , 104 , 228 , 226 , 165
