alcools,camus-la-peste-utf8.txt	3138,1817,907
alentour,camus-la-peste-utf8.txt	760
alentour,dumas_blanche_beaulieu-utf8.txt	80,64
alerte,camus-la-peste-utf8.txt	2890,574,1515,2183
alertes,camus-la-peste-utf8.txt	1187
alerté,camus-la-peste-utf8.txt	2795
alexandre,dumas_blanche_beaulieu-utf8.txt	3
alezane,camus-la-peste-utf8.txt	1469,1155,2825,1479,1497,1473
algarade,edmond_rostand_cyrano-utf8.txt	4820
alger,camus-la-peste-utf8.txt	698,1223
alger,edmond_rostand_cyrano-utf8.txt	15028
algues,camus-la-peste-utf8.txt	2753
algérienne,camus-la-peste-utf8.txt	24
alignait,camus-la-peste-utf8.txt	2100,2878
alignezvous,edmond_rostand_cyrano-utf8.txt	20872
alimentaires,camus-la-peste-utf8.txt	919
alimenter,camus-la-peste-utf8.txt	907
aliments,camus-la-peste-utf8.txt	2148
alla,camus-la-peste-utf8.txt	1991,232,1851,130,760,1183,1277
allaient,camus-la-peste-utf8.txt	2108,2904,1167,2253,2882,1461
allait,camus-la-peste-utf8.txt	2647,1193,3198,3168,1509,3134,3130,1055,196,1905,959,3026,941,2974,929,2944,242,2914,2144,2171,2882,2843,828,2245,2821,746,746,2391,704,666,656,2493,2525,2529,2531,2703,2531,566,2561,2561,2685,554
allait,edmond_rostand_cyrano-utf8.txt	21430,18800,13196
allaitil,edmond_rostand_cyrano-utf8.txt	23685,23955,23957
allant,camus-la-peste-utf8.txt	1405
allant,edmond_rostand_cyrano-utf8.txt	19201,19427,18958,16412,10984,18920
allassent,camus-la-peste-utf8.txt	1793
aller,camus-la-peste-utf8.txt	2793,2683,2173,36,2811,1167,3182,2459,875,3098,530,2681,1063,931,34,2749,2181,2477,512,2681,2187,2683,959
aller,edmond_rostand_cyrano-utf8.txt	17286,15725,7494,18151
allez,camus-la-peste-utf8.txt	1017,2045
allez,edmond_rostand_cyrano-utf8.txt	5892,8199,5892,13051,12366,11270,11797,14698,5818,2200,3389,1877,12822
allezvous,camus-la-peste-utf8.txt	2281
allezvousen,edmond_rostand_cyrano-utf8.txt	13166,12862
alliez,edmond_rostand_cyrano-utf8.txt	18079
allongeait,camus-la-peste-utf8.txt	1471
allons,camus-la-peste-utf8.txt	2063,1913,921,722,250,490,1019,530,2453,1439
allons,dumas_blanche_beaulieu-utf8.txt	292
allons,edmond_rostand_cyrano-utf8.txt	21692,4525,6522,22912,2905,17534,8285,5840,15805,12236,11126
allonsy,camus-la-peste-utf8.txt	2295,1361,2751
alluma,camus-la-peste-utf8.txt	1769,1689
allumait,camus-la-peste-utf8.txt	2589,1087,2821
allume,edmond_rostand_cyrano-utf8.txt	878,430
allument,edmond_rostand_cyrano-utf8.txt	17033
allumer,camus-la-peste-utf8.txt	762
allumettes,camus-la-peste-utf8.txt	444
allumez,edmond_rostand_cyrano-utf8.txt	758
allumé,camus-la-peste-utf8.txt	2884
allumé,edmond_rostand_cyrano-utf8.txt	923
allumée,camus-la-peste-utf8.txt	1277
allumée,edmond_rostand_cyrano-utf8.txt	5656
allumées,edmond_rostand_cyrano-utf8.txt	5852
allumés,edmond_rostand_cyrano-utf8.txt	301,15594
allure,camus-la-peste-utf8.txt	3130,2884,1689,404,2757,2761,2120
allusion,edmond_rostand_cyrano-utf8.txt	9806
allusions,camus-la-peste-utf8.txt	646
allègrement,camus-la-peste-utf8.txt	1221
allèrent,camus-la-peste-utf8.txt	2627,1955,1787,198
allèrent,dumas_blanche_beaulieu-utf8.txt	61
allé,camus-la-peste-utf8.txt	1219
allé,edmond_rostand_cyrano-utf8.txt	13900,15142
allée,camus-la-peste-utf8.txt	118
allée,edmond_rostand_cyrano-utf8.txt	21403,21688,21403
allées,camus-la-peste-utf8.txt	1497,2825,428,1155,1469,2823,1507,1507,1497
allées,edmond_rostand_cyrano-utf8.txt	21403,21411,19652,22866
allégresse,camus-la-peste-utf8.txt	2587,1195,3248
allés,camus-la-peste-utf8.txt	2193
alors,camus-la-peste-utf8.txt	2882,1453,2185,2136,354,887,2902,1183,1379,2811,2112,1195,1459,1183,2687,2709,2189,1461,3088,2557,1041,1705,2559,1047,2878,1039,2591,2152,1263,1039,2441,2255,875,1787,2689,2152,2163,865,1241,903,370,1793,2122,2086,3128,2150,2433,1793,1591,1245,1795,1507,2431,796,2431,1079,875,1575,1241,2425,2163,1181,3076,1311,1313,414,2765,875,1013,2092,2203,3074,881,3244,1009,2169,34,1457,1161,2146,891,2124,2884,2876,642,877,434,2181,2701,2912,2146,1177,1393,2888,883,1455,867,889,2693,2100,2691,2207,1683,2884,2128,1061,867,3134,2365,1453,510,2173,2691,2082,2142,3018,1185,28,2701,1063,885,1365,1517,2944,2173,1187,2090,2159,566,2687,770,2138,3140,1515,1047,2912,3022,2118,929,937,1185,2882,824,1509,1185,2118,1253
alors,dumas_blanche_beaulieu-utf8.txt	101
alors,edmond_rostand_cyrano-utf8.txt	5274,23518,15554,13370,4599,15562,15570,13778,23573,14161,6272,9304,5046,11797,7653,11070,7973,3603,18089,7671,15348
alourdi,camus-la-peste-utf8.txt	2152
alternait,edmond_rostand_cyrano-utf8.txt	6110
alternances,camus-la-peste-utf8.txt	2884
alterneles,edmond_rostand_cyrano-utf8.txt	6108
altitude,edmond_rostand_cyrano-utf8.txt	13336
altière,edmond_rostand_cyrano-utf8.txt	18061
amabilités,camus-la-peste-utf8.txt	680
amande,edmond_rostand_cyrano-utf8.txt	7053
amandines,edmond_rostand_cyrano-utf8.txt	7113,7155
amant,camus-la-peste-utf8.txt	3140,2197
amant,edmond_rostand_cyrano-utf8.txt	18121,23969,18089
amante,camus-la-peste-utf8.txt	871
amante,edmond_rostand_cyrano-utf8.txt	10829
amants,camus-la-peste-utf8.txt	863,885,3150,2082,3134,871,869
amants,edmond_rostand_cyrano-utf8.txt	15679
amateur,camus-la-peste-utf8.txt	40
amazone,camus-la-peste-utf8.txt	2825,1509,1469,1469,1497,1155
ambigu,camus-la-peste-utf8.txt	2577
ambitieux,camus-la-peste-utf8.txt	2737
ambition,camus-la-peste-utf8.txt	2709
ambulance,camus-la-peste-utf8.txt	1999,310,2108,1429
ambulances,camus-la-peste-utf8.txt	2120,2150,2120,2088,3146
amena,camus-la-peste-utf8.txt	2851
amenait,camus-la-peste-utf8.txt	2116,2120,2098
amener,camus-la-peste-utf8.txt	2697
amené,camus-la-peste-utf8.txt	2904,875,40,2707,808,520
amené,edmond_rostand_cyrano-utf8.txt	15442
amenés,camus-la-peste-utf8.txt	873
amenés,dumas_blanche_beaulieu-utf8.txt	53
amer,camus-la-peste-utf8.txt	2529
amer,edmond_rostand_cyrano-utf8.txt	21989,5012
amertume,camus-la-peste-utf8.txt	1005
ami,camus-la-peste-utf8.txt	2757,3028,1611,1407,2167,2841,510,3192,3078,877,1567,1705,3078,1699,1701,3026,3016,2755
